meetnet;locatie;jaar;type_waarneming;prop_aanwezig;n_nestbuizen
Hazelmuis - Nestbuizen;Broekbos - oost;2020;individuen;0,167;12
Hazelmuis - Nestbuizen;Broekbos - oost;2020;keutels;0,000;12
Hazelmuis - Nestbuizen;Broekbos - oost;2020;nest;0,583;12
Hazelmuis - Nestbuizen;Broekbos - oost;2020;vraatsporen;0,000;12
Hazelmuis - Nestbuizen;Broekbos - oost;2021;individuen;0,167;12
Hazelmuis - Nestbuizen;Broekbos - oost;2021;keutels;0,000;12
Hazelmuis - Nestbuizen;Broekbos - oost;2021;nest;0,167;12
Hazelmuis - Nestbuizen;Broekbos - oost;2021;vraatsporen;0,000;12
Hazelmuis - Nestbuizen;Broekbos - oost;2022;individuen;0,083;12
Hazelmuis - Nestbuizen;Broekbos - oost;2022;keutels;0,000;12
Hazelmuis - Nestbuizen;Broekbos - oost;2022;nest;0,333;12
Hazelmuis - Nestbuizen;Broekbos - oost;2022;vraatsporen;0,000;12
Hazelmuis - Nestbuizen;Broekbos - oost;2023;individuen;0,000;11
Hazelmuis - Nestbuizen;Broekbos - oost;2023;keutels;0,000;11
Hazelmuis - Nestbuizen;Broekbos - oost;2023;nest;0,091;11
Hazelmuis - Nestbuizen;Broekbos - oost;2023;vraatsporen;0,000;11
Hazelmuis - Nestbuizen;Broekbos - oost;2024;individuen;0,250;12
Hazelmuis - Nestbuizen;Broekbos - oost;2024;keutels;0,000;12
Hazelmuis - Nestbuizen;Broekbos - oost;2024;nest;0,250;12
Hazelmuis - Nestbuizen;Broekbos - oost;2024;vraatsporen;0,000;12
Hazelmuis - Nestbuizen;Broekbos - west;2020;individuen;0,385;13
Hazelmuis - Nestbuizen;Broekbos - west;2020;keutels;0,000;13
Hazelmuis - Nestbuizen;Broekbos - west;2020;nest;0,538;13
Hazelmuis - Nestbuizen;Broekbos - west;2020;vraatsporen;0,000;13
Hazelmuis - Nestbuizen;Broekbos - west;2021;individuen;0,385;13
Hazelmuis - Nestbuizen;Broekbos - west;2021;keutels;0,000;13
Hazelmuis - Nestbuizen;Broekbos - west;2021;nest;0,077;13
Hazelmuis - Nestbuizen;Broekbos - west;2021;vraatsporen;0,000;13
Hazelmuis - Nestbuizen;Broekbos - west;2022;individuen;0,154;13
Hazelmuis - Nestbuizen;Broekbos - west;2022;keutels;0,231;13
Hazelmuis - Nestbuizen;Broekbos - west;2022;nest;0,385;13
Hazelmuis - Nestbuizen;Broekbos - west;2022;vraatsporen;0,077;13
Hazelmuis - Nestbuizen;Broekbos - west;2023;individuen;0,000;12
Hazelmuis - Nestbuizen;Broekbos - west;2023;keutels;0,000;12
Hazelmuis - Nestbuizen;Broekbos - west;2023;nest;0,167;12
Hazelmuis - Nestbuizen;Broekbos - west;2023;vraatsporen;0,000;12
Hazelmuis - Nestbuizen;Broekbos - west;2024;individuen;0,000;13
Hazelmuis - Nestbuizen;Broekbos - west;2024;keutels;0,000;13
Hazelmuis - Nestbuizen;Broekbos - west;2024;nest;0,077;13
Hazelmuis - Nestbuizen;Broekbos - west;2024;vraatsporen;0,000;13
Hazelmuis - Nestbuizen;Konenbos;2020;individuen;0,000;25
Hazelmuis - Nestbuizen;Konenbos;2020;keutels;0,000;25
Hazelmuis - Nestbuizen;Konenbos;2020;nest;0,040;25
Hazelmuis - Nestbuizen;Konenbos;2020;vraatsporen;0,000;25
Hazelmuis - Nestbuizen;Konenbos;2021;individuen;0,080;25
Hazelmuis - Nestbuizen;Konenbos;2021;keutels;0,000;25
Hazelmuis - Nestbuizen;Konenbos;2021;nest;0,080;25
Hazelmuis - Nestbuizen;Konenbos;2021;vraatsporen;0,000;25
Hazelmuis - Nestbuizen;Konenbos;2022;individuen;0,200;25
Hazelmuis - Nestbuizen;Konenbos;2022;keutels;0,000;25
Hazelmuis - Nestbuizen;Konenbos;2022;nest;0,400;25
Hazelmuis - Nestbuizen;Konenbos;2022;vraatsporen;0,000;25
Hazelmuis - Nestbuizen;Konenbos;2023;individuen;0,240;25
Hazelmuis - Nestbuizen;Konenbos;2023;keutels;0,000;25
Hazelmuis - Nestbuizen;Konenbos;2023;nest;0,240;25
Hazelmuis - Nestbuizen;Konenbos;2023;vraatsporen;0,000;25
Hazelmuis - Nestbuizen;Konenbos;2024;individuen;0,360;25
Hazelmuis - Nestbuizen;Konenbos;2024;keutels;0,120;25
Hazelmuis - Nestbuizen;Konenbos;2024;nest;0,480;25
Hazelmuis - Nestbuizen;Konenbos;2024;vraatsporen;0,000;25
Hazelmuis - Nestbuizen;Obsinnich - noord;2020;individuen;0,200;10
Hazelmuis - Nestbuizen;Obsinnich - noord;2020;keutels;0,200;10
Hazelmuis - Nestbuizen;Obsinnich - noord;2020;nest;0,400;10
Hazelmuis - Nestbuizen;Obsinnich - noord;2020;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Obsinnich - noord;2021;individuen;0,200;10
Hazelmuis - Nestbuizen;Obsinnich - noord;2021;keutels;0,000;10
Hazelmuis - Nestbuizen;Obsinnich - noord;2021;nest;0,300;10
Hazelmuis - Nestbuizen;Obsinnich - noord;2021;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Obsinnich - noord;2022;individuen;0,400;10
Hazelmuis - Nestbuizen;Obsinnich - noord;2022;keutels;0,000;10
Hazelmuis - Nestbuizen;Obsinnich - noord;2022;nest;0,300;10
Hazelmuis - Nestbuizen;Obsinnich - noord;2022;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Obsinnich - noord;2023;individuen;0,500;10
Hazelmuis - Nestbuizen;Obsinnich - noord;2023;keutels;0,400;10
Hazelmuis - Nestbuizen;Obsinnich - noord;2023;nest;0,600;10
Hazelmuis - Nestbuizen;Obsinnich - noord;2023;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Obsinnich - noord;2024;individuen;0,300;10
Hazelmuis - Nestbuizen;Obsinnich - noord;2024;keutels;0,200;10
Hazelmuis - Nestbuizen;Obsinnich - noord;2024;nest;0,500;10
Hazelmuis - Nestbuizen;Obsinnich - noord;2024;vraatsporen;0,100;10
Hazelmuis - Nestbuizen;Obsinnich - zuid;2020;individuen;0,000;10
Hazelmuis - Nestbuizen;Obsinnich - zuid;2020;keutels;0,000;10
Hazelmuis - Nestbuizen;Obsinnich - zuid;2020;nest;0,200;10
Hazelmuis - Nestbuizen;Obsinnich - zuid;2020;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Obsinnich - zuid;2021;individuen;0,200;10
Hazelmuis - Nestbuizen;Obsinnich - zuid;2021;keutels;0,000;10
Hazelmuis - Nestbuizen;Obsinnich - zuid;2021;nest;0,000;10
Hazelmuis - Nestbuizen;Obsinnich - zuid;2021;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Obsinnich - zuid;2022;individuen;0,200;10
Hazelmuis - Nestbuizen;Obsinnich - zuid;2022;keutels;0,000;10
Hazelmuis - Nestbuizen;Obsinnich - zuid;2022;nest;0,400;10
Hazelmuis - Nestbuizen;Obsinnich - zuid;2022;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Obsinnich - zuid;2023;individuen;0,200;10
Hazelmuis - Nestbuizen;Obsinnich - zuid;2023;keutels;0,400;10
Hazelmuis - Nestbuizen;Obsinnich - zuid;2023;nest;0,500;10
Hazelmuis - Nestbuizen;Obsinnich - zuid;2023;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Obsinnich - zuid;2024;individuen;0,200;10
Hazelmuis - Nestbuizen;Obsinnich - zuid;2024;keutels;0,000;10
Hazelmuis - Nestbuizen;Obsinnich - zuid;2024;nest;0,400;10
Hazelmuis - Nestbuizen;Obsinnich - zuid;2024;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Teuvenerberg - noord;2020;individuen;0,300;20
Hazelmuis - Nestbuizen;Teuvenerberg - noord;2020;keutels;0,000;20
Hazelmuis - Nestbuizen;Teuvenerberg - noord;2020;nest;0,500;20
Hazelmuis - Nestbuizen;Teuvenerberg - noord;2020;vraatsporen;0,000;20
Hazelmuis - Nestbuizen;Teuvenerberg - noord;2021;individuen;0,350;20
Hazelmuis - Nestbuizen;Teuvenerberg - noord;2021;keutels;0,050;20
Hazelmuis - Nestbuizen;Teuvenerberg - noord;2021;nest;0,150;20
Hazelmuis - Nestbuizen;Teuvenerberg - noord;2021;vraatsporen;0,000;20
Hazelmuis - Nestbuizen;Teuvenerberg - noord;2022;individuen;0,150;20
Hazelmuis - Nestbuizen;Teuvenerberg - noord;2022;keutels;0,050;20
Hazelmuis - Nestbuizen;Teuvenerberg - noord;2022;nest;0,350;20
Hazelmuis - Nestbuizen;Teuvenerberg - noord;2022;vraatsporen;0,000;20
Hazelmuis - Nestbuizen;Teuvenerberg - noord;2023;individuen;0,250;20
Hazelmuis - Nestbuizen;Teuvenerberg - noord;2023;keutels;0,050;20
Hazelmuis - Nestbuizen;Teuvenerberg - noord;2023;nest;0,400;20
Hazelmuis - Nestbuizen;Teuvenerberg - noord;2023;vraatsporen;0,000;20
Hazelmuis - Nestbuizen;Teuvenerberg - noord;2024;individuen;0,250;20
Hazelmuis - Nestbuizen;Teuvenerberg - noord;2024;keutels;0,000;20
Hazelmuis - Nestbuizen;Teuvenerberg - noord;2024;nest;0,400;20
Hazelmuis - Nestbuizen;Teuvenerberg - noord;2024;vraatsporen;0,000;20
Hazelmuis - Nestbuizen;Teuvenerberg - zuid;2020;individuen;0,300;10
Hazelmuis - Nestbuizen;Teuvenerberg - zuid;2020;keutels;0,000;10
Hazelmuis - Nestbuizen;Teuvenerberg - zuid;2020;nest;0,400;10
Hazelmuis - Nestbuizen;Teuvenerberg - zuid;2020;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Teuvenerberg - zuid;2021;individuen;0,000;10
Hazelmuis - Nestbuizen;Teuvenerberg - zuid;2021;keutels;0,000;10
Hazelmuis - Nestbuizen;Teuvenerberg - zuid;2021;nest;0,300;10
Hazelmuis - Nestbuizen;Teuvenerberg - zuid;2021;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Teuvenerberg - zuid;2022;individuen;0,100;10
Hazelmuis - Nestbuizen;Teuvenerberg - zuid;2022;keutels;0,000;10
Hazelmuis - Nestbuizen;Teuvenerberg - zuid;2022;nest;0,100;10
Hazelmuis - Nestbuizen;Teuvenerberg - zuid;2022;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Teuvenerberg - zuid;2023;individuen;0,000;10
Hazelmuis - Nestbuizen;Teuvenerberg - zuid;2023;keutels;0,100;10
Hazelmuis - Nestbuizen;Teuvenerberg - zuid;2023;nest;0,200;10
Hazelmuis - Nestbuizen;Teuvenerberg - zuid;2023;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Teuvenerberg - zuid;2024;individuen;0,100;10
Hazelmuis - Nestbuizen;Teuvenerberg - zuid;2024;keutels;0,100;10
Hazelmuis - Nestbuizen;Teuvenerberg - zuid;2024;nest;0,500;10
Hazelmuis - Nestbuizen;Teuvenerberg - zuid;2024;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noord;2020;individuen;0,200;10
Hazelmuis - Nestbuizen;Veursbos - noord;2020;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noord;2020;nest;0,300;10
Hazelmuis - Nestbuizen;Veursbos - noord;2020;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noord;2021;individuen;0,200;10
Hazelmuis - Nestbuizen;Veursbos - noord;2021;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noord;2021;nest;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noord;2021;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noord;2022;individuen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noord;2022;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noord;2022;nest;0,100;10
Hazelmuis - Nestbuizen;Veursbos - noord;2022;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noord;2023;individuen;0,200;10
Hazelmuis - Nestbuizen;Veursbos - noord;2023;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noord;2023;nest;0,400;10
Hazelmuis - Nestbuizen;Veursbos - noord;2023;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noord;2024;individuen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noord;2024;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noord;2024;nest;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noord;2024;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noordwest;2020;individuen;0,200;10
Hazelmuis - Nestbuizen;Veursbos - noordwest;2020;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noordwest;2020;nest;0,500;10
Hazelmuis - Nestbuizen;Veursbos - noordwest;2020;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noordwest;2021;individuen;0,200;10
Hazelmuis - Nestbuizen;Veursbos - noordwest;2021;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noordwest;2021;nest;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noordwest;2021;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noordwest;2022;individuen;0,300;10
Hazelmuis - Nestbuizen;Veursbos - noordwest;2022;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noordwest;2022;nest;0,200;10
Hazelmuis - Nestbuizen;Veursbos - noordwest;2022;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noordwest;2023;individuen;0,500;10
Hazelmuis - Nestbuizen;Veursbos - noordwest;2023;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noordwest;2023;nest;0,400;10
Hazelmuis - Nestbuizen;Veursbos - noordwest;2023;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noordwest;2024;individuen;0,300;10
Hazelmuis - Nestbuizen;Veursbos - noordwest;2024;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - noordwest;2024;nest;0,400;10
Hazelmuis - Nestbuizen;Veursbos - noordwest;2024;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - oost;2020;individuen;0,200;10
Hazelmuis - Nestbuizen;Veursbos - oost;2020;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - oost;2020;nest;0,100;10
Hazelmuis - Nestbuizen;Veursbos - oost;2020;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - oost;2021;individuen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - oost;2021;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - oost;2021;nest;0,200;10
Hazelmuis - Nestbuizen;Veursbos - oost;2021;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - oost;2022;individuen;0,100;10
Hazelmuis - Nestbuizen;Veursbos - oost;2022;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - oost;2022;nest;0,200;10
Hazelmuis - Nestbuizen;Veursbos - oost;2022;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - oost;2023;individuen;0,200;10
Hazelmuis - Nestbuizen;Veursbos - oost;2023;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - oost;2023;nest;0,200;10
Hazelmuis - Nestbuizen;Veursbos - oost;2023;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - oost;2024;individuen;0,300;10
Hazelmuis - Nestbuizen;Veursbos - oost;2024;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - oost;2024;nest;0,300;10
Hazelmuis - Nestbuizen;Veursbos - oost;2024;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - west;2020;individuen;0,400;10
Hazelmuis - Nestbuizen;Veursbos - west;2020;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - west;2020;nest;0,700;10
Hazelmuis - Nestbuizen;Veursbos - west;2020;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - west;2021;individuen;0,100;10
Hazelmuis - Nestbuizen;Veursbos - west;2021;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - west;2021;nest;0,100;10
Hazelmuis - Nestbuizen;Veursbos - west;2021;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - west;2022;individuen;0,100;10
Hazelmuis - Nestbuizen;Veursbos - west;2022;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - west;2022;nest;0,100;10
Hazelmuis - Nestbuizen;Veursbos - west;2022;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - west;2023;individuen;0,200;10
Hazelmuis - Nestbuizen;Veursbos - west;2023;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - west;2023;nest;0,200;10
Hazelmuis - Nestbuizen;Veursbos - west;2023;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - west;2024;individuen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - west;2024;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - west;2024;nest;0,100;10
Hazelmuis - Nestbuizen;Veursbos - west;2024;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - zuid;2020;individuen;0,200;10
Hazelmuis - Nestbuizen;Veursbos - zuid;2020;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - zuid;2020;nest;0,400;10
Hazelmuis - Nestbuizen;Veursbos - zuid;2020;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - zuid;2021;individuen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - zuid;2021;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - zuid;2021;nest;0,000;10
Hazelmuis - Nestbuizen;Veursbos - zuid;2021;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - zuid;2022;individuen;0,100;10
Hazelmuis - Nestbuizen;Veursbos - zuid;2022;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - zuid;2022;nest;0,200;10
Hazelmuis - Nestbuizen;Veursbos - zuid;2022;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - zuid;2023;individuen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - zuid;2023;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - zuid;2023;nest;0,200;10
Hazelmuis - Nestbuizen;Veursbos - zuid;2023;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Veursbos - zuid;2024;individuen;0,300;10
Hazelmuis - Nestbuizen;Veursbos - zuid;2024;keutels;0,000;10
Hazelmuis - Nestbuizen;Veursbos - zuid;2024;nest;0,200;10
Hazelmuis - Nestbuizen;Veursbos - zuid;2024;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - noord;2020;individuen;0,100;10
Hazelmuis - Nestbuizen;Vrouwenbos - noord;2020;keutels;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - noord;2020;nest;0,100;10
Hazelmuis - Nestbuizen;Vrouwenbos - noord;2020;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - noord;2021;individuen;0,100;10
Hazelmuis - Nestbuizen;Vrouwenbos - noord;2021;keutels;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - noord;2021;nest;0,100;10
Hazelmuis - Nestbuizen;Vrouwenbos - noord;2021;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - noord;2022;individuen;0,200;10
Hazelmuis - Nestbuizen;Vrouwenbos - noord;2022;keutels;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - noord;2022;nest;0,200;10
Hazelmuis - Nestbuizen;Vrouwenbos - noord;2022;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - noord;2023;individuen;0,400;10
Hazelmuis - Nestbuizen;Vrouwenbos - noord;2023;keutels;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - noord;2023;nest;0,200;10
Hazelmuis - Nestbuizen;Vrouwenbos - noord;2023;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - noord;2024;individuen;0,400;10
Hazelmuis - Nestbuizen;Vrouwenbos - noord;2024;keutels;0,200;10
Hazelmuis - Nestbuizen;Vrouwenbos - noord;2024;nest;0,300;10
Hazelmuis - Nestbuizen;Vrouwenbos - noord;2024;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - noordwest;2020;individuen;0,100;10
Hazelmuis - Nestbuizen;Vrouwenbos - noordwest;2020;keutels;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - noordwest;2020;nest;0,500;10
Hazelmuis - Nestbuizen;Vrouwenbos - noordwest;2020;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - noordwest;2021;individuen;0,200;10
Hazelmuis - Nestbuizen;Vrouwenbos - noordwest;2021;keutels;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - noordwest;2021;nest;0,200;10
Hazelmuis - Nestbuizen;Vrouwenbos - noordwest;2021;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - noordwest;2022;individuen;0,300;10
Hazelmuis - Nestbuizen;Vrouwenbos - noordwest;2022;keutels;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - noordwest;2022;nest;0,600;10
Hazelmuis - Nestbuizen;Vrouwenbos - noordwest;2022;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - noordwest;2023;individuen;0,200;10
Hazelmuis - Nestbuizen;Vrouwenbos - noordwest;2023;keutels;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - noordwest;2023;nest;0,200;10
Hazelmuis - Nestbuizen;Vrouwenbos - noordwest;2023;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - noordwest;2024;individuen;0,200;10
Hazelmuis - Nestbuizen;Vrouwenbos - noordwest;2024;keutels;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - noordwest;2024;nest;0,100;10
Hazelmuis - Nestbuizen;Vrouwenbos - noordwest;2024;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - oost;2020;individuen;0,100;10
Hazelmuis - Nestbuizen;Vrouwenbos - oost;2020;keutels;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - oost;2020;nest;0,100;10
Hazelmuis - Nestbuizen;Vrouwenbos - oost;2020;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - oost;2021;individuen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - oost;2021;keutels;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - oost;2021;nest;0,100;10
Hazelmuis - Nestbuizen;Vrouwenbos - oost;2021;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - oost;2022;individuen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - oost;2022;keutels;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - oost;2022;nest;0,200;10
Hazelmuis - Nestbuizen;Vrouwenbos - oost;2022;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - oost;2023;individuen;0,200;10
Hazelmuis - Nestbuizen;Vrouwenbos - oost;2023;keutels;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - oost;2023;nest;0,100;10
Hazelmuis - Nestbuizen;Vrouwenbos - oost;2023;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - oost;2024;individuen;0,100;10
Hazelmuis - Nestbuizen;Vrouwenbos - oost;2024;keutels;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - oost;2024;nest;0,100;10
Hazelmuis - Nestbuizen;Vrouwenbos - oost;2024;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - west;2020;individuen;0,300;10
Hazelmuis - Nestbuizen;Vrouwenbos - west;2020;keutels;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - west;2020;nest;0,400;10
Hazelmuis - Nestbuizen;Vrouwenbos - west;2020;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - west;2021;individuen;0,500;10
Hazelmuis - Nestbuizen;Vrouwenbos - west;2021;keutels;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - west;2021;nest;0,100;10
Hazelmuis - Nestbuizen;Vrouwenbos - west;2021;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - west;2022;individuen;0,200;10
Hazelmuis - Nestbuizen;Vrouwenbos - west;2022;keutels;0,100;10
Hazelmuis - Nestbuizen;Vrouwenbos - west;2022;nest;0,400;10
Hazelmuis - Nestbuizen;Vrouwenbos - west;2022;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - west;2023;individuen;0,200;10
Hazelmuis - Nestbuizen;Vrouwenbos - west;2023;keutels;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - west;2023;nest;0,200;10
Hazelmuis - Nestbuizen;Vrouwenbos - west;2023;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - west;2024;individuen;0,111;9
Hazelmuis - Nestbuizen;Vrouwenbos - west;2024;keutels;0,000;9
Hazelmuis - Nestbuizen;Vrouwenbos - west;2024;nest;0,111;9
Hazelmuis - Nestbuizen;Vrouwenbos - west;2024;vraatsporen;0,000;9
Hazelmuis - Nestbuizen;Vrouwenbos - zuidwest;2020;individuen;0,100;10
Hazelmuis - Nestbuizen;Vrouwenbos - zuidwest;2020;keutels;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - zuidwest;2020;nest;0,400;10
Hazelmuis - Nestbuizen;Vrouwenbos - zuidwest;2020;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - zuidwest;2021;individuen;0,200;10
Hazelmuis - Nestbuizen;Vrouwenbos - zuidwest;2021;keutels;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - zuidwest;2021;nest;0,200;10
Hazelmuis - Nestbuizen;Vrouwenbos - zuidwest;2021;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - zuidwest;2022;individuen;0,300;10
Hazelmuis - Nestbuizen;Vrouwenbos - zuidwest;2022;keutels;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - zuidwest;2022;nest;0,300;10
Hazelmuis - Nestbuizen;Vrouwenbos - zuidwest;2022;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - zuidwest;2023;individuen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - zuidwest;2023;keutels;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - zuidwest;2023;nest;0,200;10
Hazelmuis - Nestbuizen;Vrouwenbos - zuidwest;2023;vraatsporen;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - zuidwest;2024;individuen;0,100;10
Hazelmuis - Nestbuizen;Vrouwenbos - zuidwest;2024;keutels;0,000;10
Hazelmuis - Nestbuizen;Vrouwenbos - zuidwest;2024;nest;0,500;10
Hazelmuis - Nestbuizen;Vrouwenbos - zuidwest;2024;vraatsporen;0,000;10
